dist,f_pure,n_clusters
0.04990507876514377,0.7421261590370004,3942
0.07240182647449467,0.7083095500843513,2470
0.10503989987696663,0.6870378121947817,1519
0.15239091475199118,0.6673135710389791,950
0.22108732896879915,0.6355137816000102,572
0.320751451030445,0.5884800284130548,357
0.46534323707287195,0.5670941309283712,230
0.6751156622792805,0.5288760353641057,152
0.9794515556340129,0.5420043888022121,103
1.4209792535327614,0.4994228598247016,74
2.06154355195595,0.49735530271319306,47
2.9908683086295094,0.38271370041985364,36
4.339124066080116,0.2596369724875376,20
6.29516104286888,0.16123140149929602,5
9.132961388553746,0.09316691401245608,2
13.250015870412247,0.0,1
19.223000415419225,0.0,1
27.888551122143728,0.0,1
40.460451900555306,0.0,1
58.699649215456034,0.0,1
85.16090790301573,0.0,1
123.55065714696497,0.0,1
179.24615010951922,0.0,1
260.048655919865,0.0,1
377.27618364137436,0.0,1
547.3487960916887,0.0,1
794.088568463155,0.0,1
1152.0563470066209,0.0,1
1671.3926876531054,0.0,1
2424.841044970361,0.0,0
