dist,f_pure,n_clusters
0.11512683406933674,0.7208036835496023,3942
0.12403641293438705,0.7082334436876087,3614
0.13363549738859254,0.7070918477364689,3295
0.14397744774950325,0.6987074596953208,2994
0.15511975384940252,0.6929614267412509,2659
0.16712435461533762,0.6898664332737167,2334
0.18005798238120846,0.6845770387001028,2069
0.19399253384590898,0.6718672704440808,1819
0.2090054697396392,0.6699011885282291,1585
0.22518024542009174,0.6630389284219339,1370
0.24260677479215267,0.6397630554181413,1157
0.26138193012999833,0.6341565508580996,979
0.2816100805800466,0.6409934421654807,806
0.3034036723382461,0.6433146872661314,683
0.3268838537268478,0.6393571546355138,550
0.35218114864539724,0.6150792140746096,447
0.37943618213959024,0.6201656582569098,344
0.4088004621213558,0.5578091505257684,255
0.4404372215856665,0.5566041325773431,196
0.47452232600587296,0.5569466113626851,142
0.5112452509516783,0.5676268757055697,97
0.5508101353642307,0.4803074698428403,73
0.5934369163433814,0.4786965511117876,59
0.6393625517552721,0.47778327435087586,49
0.6888423374566026,0.4407955655339498,42
0.7421513264578891,0.4508923475018075,35
0.7995858579146988,0.37524258913961717,24
0.861465204446363,0.20305186650938012,13
0.9281333469394416,0.037672666387609875,6
0.9999608867018894,0.0,0
