dist,f_pure,n_clusters
0.14448359846654665,0.5294087801413042,3942
0.15432338490095443,0.5291424077527049,3622
0.1648332916680668,0.5281149713966792,3334
0.1760589560653289,0.5251721907226302,3014
0.1880491234333484,0.521607874475183,2705
0.20085585882338758,0.5186143562033055,2392
0.21453477308007599,0.5173078630592235,2103
0.22914526432106522,0.5118155180942958,1828
0.24475077586220575,0.5120945748823522,1591
0.26141907170823786,0.5110290853279551,1376
0.27922253080526316,0.5193373669723607,1169
0.29823846133273263,0.513477174423177,978
0.3185494363997049,0.5127161104557505,819
0.3402436526030742,0.5016299453302383,668
0.3634153130047374,0.5029110696754062,530
0.3881650361907088,0.4920278549412078,411
0.414600293188444,0.4921927521341502,319
0.44283587413960446,0.49420957164783036,239
0.4729943867547017,0.5069827619011378,165
0.505206788714067,0.4880576379111331,114
0.5396129563269978,0.4933216636858328,89
0.5763622919183762,0.4516914646676053,62
0.6156143725802218,0.4513870390806347,50
0.6575396431052625,0.4602026967033246,48
0.7023201561114536,0.43197990791125995,43
0.7501503625713011,0.42921470882961044,36
0.8012379561787114,0.4142598018696805,29
0.855804775219873,0.23277141443738347,20
0.9140877658643761,0.21579968796377336,11
0.97634001105948,0.0,0
