dist,f_pure,n_clusters
0.09902517468160058,0.7966183391047351,3942
0.10764838688335009,0.7948678919796542,3398
0.11702251711089955,0.7884749546532719,2966
0.1272129560641736,0.7693595646714106,2538
0.1382907887312745,0.7569669064018164,2176
0.15033329025284634,0.7440541877544807,1806
0.16342446496680893,0.7289216992021512,1522
0.17765563239365134,0.7150703349949896,1236
0.19312606424991657,0.718292172457095,1001
0.20994367693346355,0.7136750510547079,808
0.2282257843110452,0.7179243248728389,642
0.24809991605938878,0.6893083196976039,506
0.2697047072682435,0.6897142204802313,409
0.2931908655109609,0.7325113842485128,319
0.3187222221285563,0.7128886182883671,241
0.34647687506064906,0.7111508555627434,183
0.3766484311952748,0.6621637048593935,139
0.4094473569037733,0.4094650988748938,106
0.44510244618161876,0.3155244364955541,84
0.48386241663643537,0.3062901936907797,59
0.5259976444562615,0.06395474206273705,41
0.5718020504606018,0.02784225680835141,29
0.621595150390709,0.027740781612694547,20
0.6757242837412148,0.027816888009437192,11
0.7345670366806688,0.029199487550261933,5
0.7985338759624447,0.018379694813349064,3
0.8680710121992681,0.018379694813349064,2
0.9436635124745808,0.0,1
1.0258386840032467,0.0,1
1.115169752444847,0.0,0
